episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
15,1.0,5.538958489060278,7.601380058014351,-11.004358632540377,14.075192225192986,1.25,[14.075192225192986, 1.25],0.0,False,True,0.2329524979592712,151,60.1771198586739,224.196,prepare,0.0
15,2.0,5.538495641964979,7.601497459650376,-11.026223685632377,6.5486636608650315,4.0,[6.5486636608650315, 4.0],1.003,False,True,0.23216025759302816,151,60.1771198586739,224.293,in_progress,0.0
15,3.0,5.563157627802818,7.592487202474036,-12.039375208104262,12.102107717227952,3.473014117448511,[12.102107717227952, 3.473014117448511],1.202,False,True,0.275247319765215,152,60.1771198586739,224.345,in_progress,0.0
15,4.0,5.58985291398396,7.588606386819524,-11.597138494951123,21.462495144999494,3.3710742714425055,[21.462495144999494, 3.3710742714425055],1.202,False,True,0.320023767540234,152,60.1771198586739,224.398,in_progress,0.0
15,5.0,5.622086375107462,7.588296162652388,-10.037463108449924,-1.9639643166421976,2.1025222473886647,[-1.9639643166421976, 2.1025222473886647],1.003,False,True,0.3727012877275504,152,60.1771198586739,224.449,in_progress,0.0
15,6.0,5.671209368394726,7.585726975305041,-8.639336038488317,29.09228537588276,3.1413282485824805,[29.09228537588276, 3.1413282485824805],1.003,False,True,0.4536456103431785,152,60.1771198586739,224.509,in_progress,0.0
15,7.0,5.702011319049904,7.5820153800604695,-8.294413041831076,20.468800239868308,4.0,[20.468800239868308, 4.0],1.003,False,True,0.5042688261936323,152,60.1771198586739,224.559,in_progress,0.0
15,8.0,5.7927841570100504,7.592918367270643,-2.9405602812693723,-30.0,3.145115328963471,[-30.0, 3.145115328963471],1.003,False,True,0.6469347486485311,152,60.1771198586739,224.672,in_progress,0.0
15,9.0,5.917772842599934,7.605204322425637,0.8537896307629156,-30.0,1.25,[-30.0, 1.25],1.003,False,True,0.844416360175182,153,60.1771198586739,224.773,in_progress,0.0
15,10.0,6.023556732393405,7.59236327821484,-1.826260277377709,-30.0,1.25,[-30.0, 1.25],1.003,False,True,1.0140521361958088,153,60.1771198586739,224.817,in_progress,0.0
